name,said_name,User_ID,User Name,handle,Vocation,No# of Rows,Followers,Avg Retweets per Tweet,Avg Likes per Tweet,Ranking_by_followers,URL,Overall sentiment of the user,Assigned color for the sentiement (in hexidecimal)
"""Akshay Kumar""",Akshay Kumar,31348594,akshaykumar,@akshaykumar,Entertainment,"1,926.00","33,610,000.00","1,194.80","12,589.33",43,https://i.ibb.co/3R0FZ18/Akshay-Kumar.jpg,,
"""Amitabh Bachchan""",Amitabh Bachchan,145125358,srbachchan,@srbachchan,Entertainment,424,"39,850,000.00",993.38,"12,547.94",30,https://i.ibb.co/X8t3fQF/Amitabh-Banchan.jpg,,
"""Ariana Grande""",Ariana Grande,34507480,arianagrande,@arianagrande,Entertainment,72,"69,520,000.00","9,971.47","87,566.01",10,https://i.ibb.co/5GkSnwT/Ariana-Grande.jpg,,
"""Barack Obama""",Barack Obama,813286,barackobama,@barackobama,Politics,209,"112,290,000.00","8,111.01","38,724.10",1,https://i.ibb.co/wW2cdrF/Barack-Obama.jpg,,
"""BBC Breaking News""",BBC Breaking News,5402612,bbcbreaking,@bbcbreaking,News/Media,76,"41,400,000.00",941.61,"1,785.26",29,https://i.ibb.co/ZhS58TG/BBC.jpg,,
"""Bill Gates""",Bill Gates,50393960,billgates,@billgates,Technology,320,"44,800,000.00","1,172.94","3,330.63",22,https://i.ibb.co/t86QGgk/Bill-Gates.jpg,,
"""Britney Spears""",Britney Spears,16409683,britneyspears,@britneyspears,Music,938,"56,220,000.00","2,305.65","7,712.30",16,https://i.ibb.co/vBSkvqq/Britney-Spears.jpg,,
"""Bruno Mars""",Bruno Mars,100220864,brunomars,@brunomars,Music,271,"43,270,000.00","3,488.32","8,712.06",27,https://i.ibb.co/rwKTHcS/Bruno-Mars.jpg,,
"""CNN""",CNN,759251,cnn,@cnn,News/Media,19,"44,490,000.00",203.66,746.95,24,https://i.ibb.co/dWjrb1R/CNN.png,,
"""CNN Breaking News""",CNN Breaking News,428333,cnnbrk,@cnnbrk,News/Media,2,"56,380,000.00",268.71,739.48,15,https://i.ibb.co/82sbrWx/CNNBreaking.jpg,,
"""Cristiano Ronaldo""",Cristiano Ronaldo,155659213,cristiano,@cristiano,Sports,451,"83,110,000.00","6,824.88","39,274.85",5,https://i.ibb.co/xf0QThd/Cristiano-Ronaldo.jpg,,
"""Donald J. Trump""",Donald J. Trump,25073877,realdonaldtrump,@realdonaldtrump,Politics,270,"71,440,000.00","18,761.75","78,174.65",9,https://i.ibb.co/xSb29Gh/Donald-Trump.jpg,,
"""Drizzy""",Drake (Drizzy?),27195114,drake,@drake,Music,94,"38,850,000.00","8,123.56","7,222.63",34,https://i.ibb.co/9v2gkn9/Drake.jpg,,
"""Ellen DeGeneres""",Ellen DeGeneres,15846407,theellenshow,@theellenshow,Entertainment,725,"79,350,000.00",794.05,"6,969.19",7,https://i.ibb.co/jH4pWsg/Ellen.jpg,,
"""ESPN""",ESPN,2557521,espn,@espn,News/Media,165,"34,730,000.00","1,583.86","11,272.79",40,https://i.ibb.co/0V5KyY3/ESPN.jpg,,
"""FC Barcelona""",FC Barcelona,96951800,fcbarcelona,@fcbarcelona,Sports,543,"31,790,000.00",792.91,"8,414.43",47,https://i.ibb.co/0G4QHm9/FCBarcelona.png,,
"""Harry Styles.""",Harry Styles,181561712,harry_styles,@harry_styles,Music,88,"33,990,000.00","62,442.15","104,197.62",42,https://i.ibb.co/RHrmBRY/Mandatory-Credit-Photo-by-David-Fisher-Shutterstock-10558798nm-Harry-Styles40th-Brit-Awards-Arrivals.jpg,,
"""Instagram""",Instagram,180505807,instagram,@instagram,News/Media,370,"36,080,000.00",224.49,"1,107.31",37,https://i.ibb.co/sjG9p6j/Instagram.jpg,,
"""Jennifer Lopez""",Jennifer Lopez,85603854,jlo,@jlo,Music,"1,260.00","44,310,000.00",337.87,"3,179.47",26,https://i.ibb.co/PcDdyJq/THE-TONIGHT-SHOW-STARRING-JIMMY-FALLON-Season-1-Pictured-Jimmy-Fallon-Photo-by-James-White-NBC.jpg,,
"""jimmy fallon""",Jimmy Fallon,15485441,jimmyfallon,@jimmyfallon,Entertainment,"1,430.00","51,630,000.00",895.87,"4,856.98",19,https://i.ibb.co/bm9Ny0b/JLo.jpg,,
"""Justin Bieber""",Justin Bieber,27260086,justinbieber,@justinbieber,Music,955,"108,340,000.00","40,510.89","78,759.13",2,https://i.ibb.co/W2sFJnY/27-January-2020-Westwood-California-Justin-Bieber-Hailey-Bieber-The-Premiere-Of-You-Tube-Originals-J.jpg,,
"""Justin Timberlake""",Justin Timberlake,26565946,jtimberlake,@jtimberlake,Entertainment,"1,050.00","64,990,000.00","1,725.11","5,544.13",11,https://i.ibb.co/2WBq20j/Justin-Timberlake.jpg,,
"""Katy Perry""",Katy Perry,21447363,katyperry,@katyperry,Music,894, - , - , - ,,https://i.ibb.co/ydY1wMt/Katy-Perry.jpg,,
"""Kevin Hart""",Kevin Hart,23151437,kevinhart4real,@kevinhart4real,Entertainment,906,"36,100,000.00",237.77,"1,995.51",36,https://i.ibb.co/6X9vQsR/Kevin-Hart.jpg,,
"""Kim Kardashian West""",Kim Kardashian West,25365536,kimkardashian,@kimkardashian,Entertainment,610,"63,170,000.00","2,478.88","31,201.43",12,https://i.ibb.co/hmkt5gh/Kim-Kardashian.jpg,,
"""Lady Gaga""",Lady Gaga,14230524,ladygaga,@ladygaga,Music,596,"80,710,000.00","6,641.75","23,826.29",6,https://i.ibb.co/7nT076P/LadyGaga.png,,
"""LeBron James""",LeBron James,23083404,kingjames,@kingjames,Sports,836,"44,450,000.00","5,042.04","21,254.01",25,https://i.ibb.co/VQ2Kjjs/Lebron-James.jpg,,
"""Liam""",Liam Payne,158314798,liampayne,@liampayne,Music,712, - , - , - ,,https://i.ibb.co/rfVtgsv/Liam-Payne.jpg,,
"""Lil Wayne WEEZY F""",Lil Wayne WEEZY F,116362700,liltunechi,@liltunechi,Music,181,"34,610,000.00","3,405.14","5,155.89",41,https://i.ibb.co/CwtrY9f/LilWayne.png,,
"""Louis Tomlinson""",Louis Tomlinson,84279963,louis_tomlinson,@louis_tomlinson,Music,177, - , - , - ,,https://i.ibb.co/BrRDxMW/Louis-Tomlinson.jpg,,
"""Miley Ray Cyrus""",Miley Ray Cyrus,268414482,mileycyrus,@mileycyrus,Music,"1,009.00","44,790,000.00","6,238.22","43,282.72",23,https://i.ibb.co/nRzBftX/Miley-Cyrus.jpg,,
"""Narendra Modi""",Narendra Modi,18839785,narendramodi,@narendramodi,Politics,205,"52,720,000.00","4,823.42","26,886.07",17,https://i.ibb.co/KmH5RYf/Narendra-Modi.jpg,,
"""NASA""",NASA,11348282,nasa,@nasa,Technology,"1,548.00","34,820,000.00",904.14,"4,253.51",39,https://i.ibb.co/cy0cgjT/NASA.jpg,,
"""Neymar Jr""",Neymar Jr,158487331,neymarjr,@neymarjr,Sports,"1,754.00","45,300,000.00","3,827.56","21,574.93",20,https://i.ibb.co/1QdcVw8/New-York-Times.png,,
"""Niall Horan""",Niall Horan,105119490,niallofficial,@niallofficial,Music,619,"39,480,000.00","14,521.76","59,682.04",32,https://i.ibb.co/QJBsjms/NeymarJr.png,,
"""Oprah Winfrey""",Oprah Winfrey,19397785,oprah,@oprah,Entertainment,"1,413.00","42,800,000.00",667.57,"3,274.89",28,https://i.ibb.co/BjwvqK5/Nial-Horan.jpg,,
"""P!nk""",P!nk,28706024,pink,@pink,Music,383,"32,200,000.00",881.69,"6,346.64",46,https://i.ibb.co/n71j0mx/Oprah.jpg,,
"""Real Madrid C.F.⚽""",Real Madrid C.F.⚽,14872237,realmadrid,@realmadrid,Sports,"2,287.00","33,580,000.00",915.21,"6,843.70",44,https://i.ibb.co/Tcr5gJn/Mandatory-Credit-Photo-by-Joel-C-Ryan-Invision-AP-REX-Shutterstock-10112788ao-Singer-Pink-poses-for.jpg,,
"""Rihanna""",Rihanna,79293791,rihanna,@rihanna,Music,833,"95,570,000.00","6,906.54","22,786.03",3,https://i.ibb.co/s63tZ2m/Real-Madrid.png,,
