,_id,index,name,Identity,User_ID,User Name,handle,Vocation,No# of Rows,Followers,Avg Retweets per Tweet,Avg Likes per Tweet,Ranking_by_followers,URL,Overall sentiment of the user,Assigned color for the sentiement (in hexidecimal),WikiSummary
0,60eed4f6060d3647c22b47fb,0,"""Akshay Kumar""",Akshay Kumar,31348594,akshaykumar,@akshaykumar,Entertainment,"1,926.00","33,610,000.00","1,194.80","12,589.33",43.0,https://i.ibb.co/3R0FZ18/Akshay-Kumar.jpg,,,"Rajiv Hari Om Bhatia (born 9 September 1967), known professionally as Akshay Kumar (pronounced [əkˈʂeː kʊˈmaːr]), is an Indian-born naturalised Canadian actor, producer, martial artist and television personality who works in Bollywood, the commercial Hindi language film industry based chiefly in Mumbai, India. Over 29 years, Kumar has appeared in over 100 films and has won several awards, including a National Film Award for Best Actor and two Filmfare Awards. Kumar is one of the most successful prolific actors of Hindi cinema."
1,60eed4f6060d3647c22b47fc,1,"""Amitabh Bachchan""",Amitabh Bachchan,145125358,srbachchan,@srbachchan,Entertainment,424,"39,850,000.00",993.38,"12,547.94",30.0,https://i.ibb.co/X8t3fQF/Amitabh-Banchan.jpg,,,"Amitabh Bachchan (pronounced [əmɪˈtaːbʱ ˈbətʃːən]; born Inquilaab Srivastava; 11 October 1942) is an Indian film actor, film producer, television host, occasional playback singer and former politician. He is regarded as one of the most influential actors in the history of Indian cinema.  During the 1970s–1980s, he was the most dominant actor in the Indian movie scene; the French director François Truffaut called him a ""one-man industry"".Bachchan was born in 1942 in Allahabad to the Hindi poet Harivansh Rai Bachchan and his wife, the social activist Teji Bachchan."
2,60eed4f6060d3647c22b47fd,2,"""Ariana Grande""",Ariana Grande,34507480,arianagrande,@arianagrande,Entertainment,72,"69,520,000.00","9,971.47","87,566.01",10.0,https://i.ibb.co/5GkSnwT/Ariana-Grande.jpg,,,"Ariana Grande-Butera  (; born June 26, 1993) is an American singer and actress. She has received numerous accolades throughout her career, including two Grammy Awards, one Brit Award, two Billboard Music Awards, three American Music Awards, nine MTV Video Music Awards, and 22 Guinness World Records.
Born in Boca Raton, Florida, Grande began her career at age 15 in the 2008 Broadway musical 13."
3,60eed4f6060d3647c22b47fe,3,"""Barack Obama""",Barack Obama,813286,barackobama,@barackobama,Politics,209,"112,290,000.00","8,111.01","38,724.10",1.0,https://i.ibb.co/wW2cdrF/Barack-Obama.jpg,,,"Barack Hussein Obama II ( (listen) bə-RAHK hoo-SAYN oh-BAH-mə; born August 4, 1961) is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American  president of the United States. He previously served as a U.S. senator from Illinois from 2005 to 2008 and as an Illinois state senator from 1997 to 2004."
4,60eed4f6060d3647c22b47ff,4,"""BBC Breaking News""",BBC Breaking News,5402612,bbcbreaking,@bbcbreaking,News/Media,76,"41,400,000.00",941.61,"1,785.26",29.0,https://i.ibb.co/ZhS58TG/BBC.jpg,,,"This list contains the top 50 accounts with the most followers on the social media platform Twitter. Barack Obama, Justin Bieber, Katy Perry and Rihanna top the list, with over 100 million followers each.


== Top 50 accounts ==
The following table lists the top 50 most followed accounts on Twitter, with each total rounded to the nearest million followers, as well as the profession or activity of each user."
5,60eed4f6060d3647c22b4800,5,"""Bill Gates""",Bill Gates,50393960,billgates,@billgates,Technology,320,"44,800,000.00","1,172.94","3,330.63",22.0,https://i.ibb.co/t86QGgk/Bill-Gates.jpg,,,"William Henry Gates III  (born October 28, 1955) is an American business magnate, software developer, investor, author, and philanthropist. He is a co-founder of Microsoft Corporation, along with his late childhood friend Paul Allen. During his career at Microsoft, Gates held the positions of chairman, chief executive officer (CEO), president and chief software architect, while also being the largest individual shareholder until May 2014."
6,60eed4f6060d3647c22b4801,6,"""Britney Spears""",Britney Spears,16409683,britneyspears,@britneyspears,Music,938,"56,220,000.00","2,305.65","7,712.30",16.0,https://i.ibb.co/vBSkvqq/Britney-Spears.jpg,,,"Britney Jean Spears (born December 2, 1981) is an American singer, songwriter, dancer, and actress. She is credited with influencing the revival of teen pop during the late 1990s and early 2000s, for which she is referred to as the ""Princess of Pop"". After appearing in stage productions and television series, Spears signed with Jive Records in 1997 at age 15."
7,60eed4f6060d3647c22b4802,7,"""Bruno Mars""",Bruno Mars,100220864,brunomars,@brunomars,Music,271,"43,270,000.00","3,488.32","8,712.06",27.0,https://i.ibb.co/rwKTHcS/Bruno-Mars.jpg,,,"Peter Gene Hernandez (born October 8, 1985), known professionally as Bruno Mars, is an American singer, songwriter, record producer, musician, and dancer. He is known for his stage performances, retro showmanship, and for performing in a wide range of musical styles, including pop, R&B, funk, soul, reggae, hip hop, disco and rock. Mars is accompanied by his band, the Hooligans, who play a variety of instruments, such as electric guitar, bass, piano, keyboards, drums, and horns, and also serve as backup singers and dancers."
8,60eed4f6060d3647c22b4803,8,"""CNN""",CNN,759251,cnn,@cnn,News/Media,19,"44,490,000.00",203.66,746.95,24.0,https://i.ibb.co/dWjrb1R/CNN.png,,,"The Cable News Network (CNN) is a multinational news-based pay television channel headquartered in Atlanta, United States. It is owned by CNN Worldwide, a unit of the WarnerMedia News & Sports division of AT&T's WarnerMedia. It was founded in 1980 by American media proprietor Ted Turner and Reese Schonfeld as a 24-hour cable news channel."
9,60eed4f6060d3647c22b4804,9,"""CNN Breaking News""",CNN Breaking News,428333,cnnbrk,@cnnbrk,News/Media,2,"56,380,000.00",268.71,739.48,15.0,https://i.ibb.co/82sbrWx/CNNBreaking.jpg,,,"Jason William Mizell (January 21, 1965 – October 30, 2002), better known by his stage name Jam Master Jay, was an American musician and DJ. He was the DJ of the influential hip hop group Run-D.M.C. During the 1980s, Run-D.M.C. became one of the biggest hip hop groups and are credited with breaking hip hop into mainstream music.


== Early life ==
Jason Mizell was born in Brooklyn, New York City, the son of Jesse Mizell and Connie Thompson Mizell (later Connie Mizell-Perry) whose other children are Marvin L. Thompson and Bonita Jones.At age 3, Jason began playing trumpet. He learned to play bass, guitar, and drums."
